                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3016,                 4.3311,                  4.228,                0.00246,                0.56944,                0.00268,                 0.0008,                  2.869,                 4.0608,                 4.1417,             0.00051677,             0.00051677,             0.00051677
                      1,                 3.0915,                 4.1213,                 4.0206,                0.00273,                0.69444,                 0.0032,                0.00085,                  3.025,                 3.9437,                 4.2211,              0.0010398,              0.0010398,              0.0010398
                      2,                 2.9815,                 3.9092,                 3.7435,                0.00316,                0.27778,                0.00481,                0.00089,                 3.3794,                 4.2882,                 4.7923,              0.0015523,              0.0015523,              0.0015523
                      3,                  2.884,                 3.6865,                 3.4486,                0.02799,                0.02778,                0.01136,                0.00497,                 3.2441,                 5.2652,                 4.5884,              0.0016175,              0.0016175,              0.0016175
                      4,                 2.8225,                 3.5274,                 3.2784,                0.52837,                0.11111,                0.02737,                 0.0065,                 3.0529,                 41.999,                 6.8036,              0.0016175,              0.0016175,              0.0016175
                      5,                  2.643,                 3.3311,                 3.1258,                0.09607,                  0.125,                0.05439,                0.02277,                 2.5343,                 6.3648,                 3.1518,               0.001601,               0.001601,               0.001601
                      6,                 2.5608,                 3.2215,                  3.025,                0.11395,                0.09722,                0.07243,                0.01977,                 2.7596,                 4.4733,                 3.2901,              0.0015845,              0.0015845,              0.0015845
                      7,                 2.4664,                 3.1484,                 2.9509,                0.47961,                0.20341,                0.12186,                0.03416,                 2.7487,                 3.9417,                 3.5865,               0.001568,               0.001568,               0.001568
                      8,                  2.419,                 3.1566,                 2.9245,                0.05344,                0.22222,                0.04755,                0.01594,                 2.4227,                 3.2963,                 3.1142,              0.0015515,              0.0015515,              0.0015515
                      9,                 2.3437,                 2.9783,                 2.8854,                0.12768,                0.13889,                0.05838,                0.01585,                 2.5073,                 4.1549,                 3.2577,               0.001535,               0.001535,               0.001535
                     10,                 2.2545,                 2.8749,                  2.859,                0.27109,                0.09722,                0.07261,                0.01322,                 2.9577,                 3.4106,                 3.9224,              0.0015185,              0.0015185,              0.0015185
                     11,                 2.2417,                 2.8979,                 2.8299,                0.22564,                   0.25,                0.18552,                0.05541,                 2.2155,                 3.5441,                 2.9518,               0.001502,               0.001502,               0.001502
                     12,                 2.2024,                 2.7904,                  2.767,                0.19131,                0.17321,                0.11641,                0.03402,                 2.2146,                 3.1964,                 3.0082,              0.0014855,              0.0014855,              0.0014855
                     13,                 2.1239,                 2.6628,                 2.7294,                0.12069,                0.18056,                0.16779,                0.06186,                 2.0414,                 2.7496,                 2.8298,               0.001469,               0.001469,               0.001469
                     14,                 2.0801,                 2.6115,                 2.6943,                0.27685,                0.55556,                  0.308,                0.12631,                 2.0457,                 2.9607,                 2.8018,              0.0014525,              0.0014525,              0.0014525
                     15,                 2.0993,                 2.5966,                 2.7213,                0.32751,                0.20833,                0.18438,                0.06589,                 2.1809,                 3.7331,                 2.9289,               0.001436,               0.001436,               0.001436
                     16,                 2.0609,                 2.5215,                 2.6791,                0.26018,                0.48611,                0.34131,                0.13572,                 2.0052,                 2.4383,                  2.661,              0.0014195,              0.0014195,              0.0014195
                     17,                 2.0116,                 2.4471,                 2.6101,                0.31565,                0.41667,                0.36198,                0.14444,                 2.0971,                 2.3834,                 2.7193,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.9882,                 2.4485,                 2.6246,                 0.3761,                0.57876,                0.37837,                0.17367,                  1.967,                 2.3907,                 2.6798,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.9202,                 2.3197,                 2.4896,                0.45477,                0.51389,                 0.4026,                0.17845,                 2.0554,                 2.2925,                 2.7068,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.9118,                 2.2774,                 2.5098,                0.43317,                0.45833,                0.43304,                0.18443,                 2.0972,                 2.5594,                  2.842,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.8996,                 2.2774,                 2.5359,                0.57451,                  0.375,                0.40276,                0.18526,                 1.9818,                 2.5161,                 2.6836,              0.0013369,              0.0013369,              0.0013369
