                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.4083,                 3.1949,                  3.507,                0.14838,                0.45833,                0.18884,                 0.0527,                 2.5633,                 4.4019,                 2.9267,               0.000554,               0.000554,               0.000554
                      1,                 2.2247,                 2.0861,                 2.3177,                0.39344,                0.51523,                 0.5024,                 0.2106,                 1.9351,                  2.015,                 2.1696,              0.0010877,              0.0010877,              0.0010877
                      2,                 1.8909,                 1.7721,                 2.0206,                0.63543,                0.66667,                0.69885,                0.31042,                 1.8662,                  1.778,                 2.1751,              0.0015994,              0.0015994,              0.0015994
                      3,                 1.7438,                 1.6025,                 1.8865,                0.75071,                0.60189,                0.74002,                0.35593,                 1.7957,                 1.5065,                 1.9337,               0.001568,               0.001568,               0.001568
                      4,                 1.6416,                 1.4994,                 1.8047,                0.76117,                0.72975,                0.76344,                0.43207,                 1.4471,                 1.3949,                 1.7611,               0.001568,               0.001568,               0.001568
                      5,                 1.5569,                 1.4127,                 1.7381,                0.70291,                0.84722,                0.82324,                0.48624,                 1.3823,                 1.2192,                 1.7157,               0.001535,               0.001535,               0.001535
                      6,                 1.4985,                 1.3125,                 1.6869,                0.81948,                0.83333,                0.86797,                0.56267,                 1.3259,                  1.187,                 1.6291,               0.001502,               0.001502,               0.001502
                      7,                   1.45,                 1.2573,                 1.6578,                0.80007,                0.77778,                0.85723,                0.53782,                 1.3485,                 1.1621,                 1.6297,               0.001469,               0.001469,               0.001469
                      8,                 1.4175,                 1.2111,                 1.6309,                0.80654,                0.72969,                 0.8409,                0.57206,                 1.2287,                  1.242,                 1.5743,               0.001436,               0.001436,               0.001436
                      9,                 1.3825,                  1.163,                 1.6076,                0.75702,                0.87721,                0.88877,                0.57419,                  1.288,                 1.1383,                 1.5996,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.3309,                 1.1105,                 1.5663,                0.80808,                0.86111,                0.88361,                0.61095,                 1.1372,                  1.041,                 1.4708,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.3161,                  1.082,                 1.5538,                0.79995,                0.81944,                0.86573,                0.57902,                   1.25,                 1.1006,                  1.554,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.2972,                 1.0441,                 1.5454,                 0.8672,                0.88307,                0.90522,                0.59193,                 1.2601,                 1.0443,                 1.5297,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.2712,                 1.0156,                 1.5306,                0.76067,                0.83745,                0.84501,                0.59807,                 1.0946,                 1.1044,                 1.4475,              0.0012709,              0.0012709,              0.0012709
