                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.0405,                  4.047,                 4.2455,                 0.0038,                0.44444,                0.00618,                0.00123,                 2.9942,                  4.073,                 4.1434,             0.00051677,             0.00051677,             0.00051677
                      1,                 3.7433,                 3.4329,                 3.9885,                 0.0036,                0.40278,                0.00861,                0.00175,                 2.9707,                 4.3992,                 4.1422,              0.0010294,              0.0010294,              0.0010294
                      2,                 3.4578,                 2.9897,                 3.5401,                0.00466,                0.44444,                0.01381,                0.00303,                 3.0384,                 3.8869,                 3.9522,              0.0015209,              0.0015209,              0.0015209
                      3,                 3.1479,                  2.822,                 3.2147,                  0.072,                0.05556,                0.02757,                0.00656,                 2.8662,                  3.684,                  3.309,               0.001568,               0.001568,               0.001568
                      4,                 2.9935,                 2.7507,                 3.0095,                 0.2063,                0.20833,                0.06241,                0.01812,                 2.7967,                 3.2294,                 3.4732,               0.001568,               0.001568,               0.001568
                      5,                 2.9036,                 2.6372,                 2.8986,                0.08673,                  0.125,                0.05994,                0.01592,                  2.385,                 3.0531,                 3.0798,               0.001535,               0.001535,               0.001535
                      6,                 2.7535,                 2.5173,                 2.7579,                0.56863,                0.18056,                0.20946,                0.04924,                 2.4621,                 3.3154,                 3.0246,               0.001502,               0.001502,               0.001502
                      7,                 2.6058,                 2.4606,                 2.6846,                0.28548,                0.26389,                0.18728,                0.06433,                 2.4837,                 2.5036,                 3.1895,               0.001469,               0.001469,               0.001469
                      8,                 2.5607,                 2.4164,                 2.6263,                0.06233,                0.27778,                0.04041,                0.01268,                 2.4862,                 9.4666,                 2.8477,               0.001436,               0.001436,               0.001436
                      9,                 2.4131,                 2.3356,                 2.5122,                0.24347,                0.31944,                0.22579,                 0.0704,                 2.2674,                 2.7089,                 2.8233,              0.0014029,              0.0014029,              0.0014029
                     10,                 2.3536,                  2.252,                 2.4351,                0.31349,                0.36565,                0.30762,                0.10196,                 2.3285,                 2.8067,                 2.8632,              0.0013699,              0.0013699,              0.0013699
                     11,                 2.3481,                 2.2644,                 2.4588,                0.25155,                  0.375,                0.24965,                0.08653,                 2.2414,                 2.6487,                 2.6398,              0.0013369,              0.0013369,              0.0013369
                     12,                 2.2981,                 2.1212,                 2.3859,                 0.4522,                0.41667,                0.41934,                 0.1771,                 1.9358,                 2.4542,                 2.3382,              0.0013039,              0.0013039,              0.0013039
                     13,                 2.1439,                 2.0054,                 2.2953,                0.42914,                0.55556,                0.39621,                0.13094,                 2.0496,                 2.5317,                 2.4357,              0.0012709,              0.0012709,              0.0012709
                     14,                 2.0717,                 1.9465,                  2.254,                0.54281,                 0.4986,                0.48967,                0.18274,                 2.0206,                 2.0985,                 2.4272,              0.0012379,              0.0012379,              0.0012379
                     15,                 2.0362,                 1.9293,                 2.2288,                0.41968,                0.36111,                0.37992,                0.16189,                 2.0628,                 2.1544,                  2.501,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.9998,                 1.8863,                 2.1726,                0.60975,                0.59722,                0.57672,                0.26348,                 1.9136,                 1.8518,                 2.2715,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.9152,                 1.8844,                 2.1602,                 0.5478,                0.52778,                0.58347,                0.25304,                  1.843,                 1.9713,                 2.2433,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.9138,                 1.8418,                 2.1046,                0.56298,                 0.5614,                 0.6234,                 0.3063,                 1.8565,                 1.8943,                 2.3173,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.9178,                 1.8413,                  2.101,                0.81451,                0.55048,                0.70517,                0.37676,                 1.5801,                 1.6859,                 1.9935,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.8758,                 1.8043,                 2.0699,                0.77827,                0.51389,                 0.6746,                0.31445,                 1.7582,                 1.7984,                 2.1207,              0.0010399,              0.0010399,              0.0010399
                     21,                 1.8594,                 1.6984,                  2.042,                0.66873,                0.61624,                0.69646,                0.33057,                 1.7676,                 1.7411,                 2.0707,              0.0010069,              0.0010069,              0.0010069
                     22,                 1.8312,                 1.7284,                 2.0386,                0.77914,                0.56362,                0.67667,                0.33566,                 1.7214,                 1.8009,                 2.1018,             0.00097386,             0.00097386,             0.00097386
                     23,                 1.8337,                 1.7036,                 1.9914,                0.70307,                 0.6588,                0.71859,                0.34216,                 1.7134,                 1.7941,                 2.0611,             0.00094085,             0.00094085,             0.00094085
                     24,                 1.8155,                 1.6895,                 1.9951,                0.78345,                0.59579,                0.71606,                0.38081,                 1.6654,                 1.7302,                  2.031,             0.00090785,             0.00090785,             0.00090785
                     25,                 1.8212,                 1.6656,                 1.9933,                0.82397,                 0.6556,                 0.7795,                0.41381,                 1.5961,                 1.5112,                 1.9791,             0.00087484,             0.00087484,             0.00087484
                     26,                 1.7679,                 1.6709,                  1.953,                 0.7344,                0.57047,                 0.6987,                0.38509,                 1.5166,                 1.6067,                 1.9266,             0.00084184,             0.00084184,             0.00084184
                     27,                 1.7781,                  1.648,                  1.982,                0.78369,                0.66667,                0.80256,                0.42438,                 1.5205,                 1.4559,                 1.9238,             0.00080883,             0.00080883,             0.00080883
                     28,                 1.6902,                  1.576,                 1.9252,                0.62371,                0.77068,                0.77263,                0.41109,                  1.509,                 1.5585,                 1.8965,             0.00077582,             0.00077582,             0.00077582
