                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.7307,                  3.439,                 3.7858,                0.15416,                0.34722,                0.08116,                0.02042,                  2.722,                 3.6339,                 3.0224,             0.00055263,             0.00055263,             0.00055263
                      1,                   2.69,                 2.5351,                 2.7542,                0.52878,                 0.2072,                0.18237,                0.05742,                 2.3989,                  3.236,                 2.7366,              0.0010973,              0.0010973,              0.0010973
                      2,                 2.2256,                 2.1417,                 2.3442,                0.41579,                0.54817,                0.42294,                0.17981,                 2.0416,                 2.2541,                 2.2357,               0.001631,               0.001631,               0.001631
                      3,                 1.9877,                 1.9065,                 2.1193,                0.49375,                0.66027,                0.56209,                0.30031,                  1.679,                 1.9492,                 1.9855,              0.0016175,              0.0016175,              0.0016175
                      4,                 1.8453,                   1.76,                  1.956,                0.71695,                0.54114,                 0.6878,                0.28523,                 1.9291,                  1.646,                 2.1374,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.8032,                 1.6894,                 1.9201,                0.70634,                0.53604,                0.61082,                0.32185,                 1.6663,                 1.8109,                 1.8757,               0.001601,               0.001601,               0.001601
                      6,                 1.7133,                 1.5925,                 1.8537,                 0.7664,                 0.6517,                0.72621,                0.40864,                 1.5804,                 1.5752,                   1.87,              0.0015845,              0.0015845,              0.0015845
                      7,                  1.661,                 1.5365,                 1.8146,                0.78161,                0.73611,                0.76773,                0.40705,                  1.529,                 1.4983,                 1.8118,               0.001568,               0.001568,               0.001568
                      8,                 1.6073,                 1.4687,                 1.7575,                0.75423,                0.66596,                0.76163,                0.48331,                 1.3493,                 1.4468,                 1.6352,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.5721,                 1.4233,                 1.7307,                0.68163,                0.72222,                0.73449,                0.41357,                  1.496,                 2.0267,                 1.7837,               0.001535,               0.001535,               0.001535
                     10,                 1.5439,                 1.3939,                 1.7164,                0.83257,                0.72498,                0.83284,                0.48659,                 1.3994,                 1.3389,                  1.699,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.5071,                 1.3305,                 1.6742,                0.73178,                0.76234,                0.79805,                0.47624,                 1.4173,                 1.4008,                 1.6756,               0.001502,               0.001502,               0.001502
                     12,                 1.4741,                 1.3159,                 1.6527,                0.81183,                0.66601,                0.79509,                0.50431,                 1.3001,                 1.4854,                 1.5868,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.4501,                 1.2806,                 1.6406,                0.78792,                0.77778,                0.83188,                0.49482,                  1.378,                 1.2397,                  1.607,               0.001469,               0.001469,               0.001469
                     14,                 1.4371,                 1.2355,                 1.6429,                0.86381,                 0.7222,                0.86937,                0.54331,                 1.3357,                 1.1056,                 1.5746,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.4347,                 1.2093,                 1.6284,                0.78197,                0.76905,                 0.8094,                0.52285,                 1.3078,                 1.3149,                 1.5961,               0.001436,               0.001436,               0.001436
                     16,                 1.3896,                 1.1934,                 1.5918,                0.81965,                0.74781,                0.86417,                0.51272,                 1.3706,                   1.21,                 1.6454,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.3848,                 1.1746,                 1.5794,                0.76378,                0.80604,                0.82969,                 0.5291,                 1.3309,                 1.2431,                 1.6243,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.3518,                 1.1329,                 1.5703,                 0.8684,                0.73754,                0.86191,                0.58326,                 1.1782,                 1.1662,                 1.4879,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.3447,                 1.1102,                 1.5574,                0.92362,                0.75653,                0.85866,                0.58231,                 1.1314,                  1.228,                 1.4345,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.3239,                 1.1001,                 1.5421,                0.84041,                 0.7227,                0.86045,                0.56982,                 1.1724,                 1.0269,                  1.487,              0.0013534,              0.0013534,              0.0013534
                     21,                  1.319,                 1.0765,                 1.5368,                0.76752,                0.84947,                0.85879,                 0.5755,                 1.2369,                  1.072,                 1.4815,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.3178,                 1.0711,                 1.5379,                0.85592,                0.79064,                0.85986,                0.62195,                   1.07,                 1.1299,                 1.3609,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.2919,                 1.0601,                 1.5207,                0.80645,                0.86111,                0.88302,                0.63683,                  1.057,                 1.0506,                 1.3855,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.2611,                 1.0212,                 1.4987,                0.84647,                0.86195,                0.86775,                 0.6135,                 1.1083,                 1.0868,                 1.3807,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.2763,                 1.0098,                 1.5067,                0.79143,                0.80556,                0.84636,                0.58693,                 1.1359,                 1.1397,                 1.3874,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.2532,                 1.0069,                 1.4929,                 0.8987,                0.80556,                 0.8945,                0.59904,                 1.1951,                 1.0921,                 1.4876,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.2375,                0.98332,                   1.48,                0.89861,                0.86069,                0.89283,                0.62546,                 1.0897,                 1.0579,                 1.4117,              0.0012379,              0.0012379,              0.0012379
                     28,                  1.239,                0.98247,                 1.4809,                0.88115,                 0.7623,                0.88576,                0.61981,                 1.0736,                0.99668,                 1.4078,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.2219,                0.94888,                 1.4664,                0.82821,                0.87902,                0.89634,                0.64337,                 1.0717,                0.89467,                 1.3639,              0.0012049,              0.0012049,              0.0012049
