                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.0439,                 4.0037,                 4.2296,                0.00412,                0.44444,                0.01806,                0.00318,                 2.9922,                 4.1448,                 4.1454,             0.00051677,             0.00051677,             0.00051677
                      1,                 3.6441,                 3.4696,                 3.9956,                0.00425,                0.48611,                0.02907,                0.00401,                 2.9671,                 4.4514,                 4.1547,              0.0010398,              0.0010398,              0.0010398
                      2,                 3.3756,                 3.0213,                 3.5411,                0.00365,                0.22222,                0.02065,                0.00381,                 2.9653,                  4.047,                 4.0964,              0.0015523,              0.0015523,              0.0015523
                      3,                 3.1596,                 2.9564,                 3.2645,                0.02736,                0.13106,                0.02106,                0.00533,                  3.096,                 3.7133,                 3.6987,              0.0016175,              0.0016175,              0.0016175
                      4,                 2.9317,                 2.7605,                 3.0103,                0.09309,                   0.25,                0.08416,                0.02197,                 2.7351,                 3.6663,                 3.3206,              0.0016175,              0.0016175,              0.0016175
                      5,                 2.8317,                 2.6155,                 2.9253,                0.64182,                  0.125,                 0.1122,                0.03046,                 2.6455,                 5.3803,                 3.2447,               0.001601,               0.001601,               0.001601
                      6,                 2.6982,                 2.5747,                 2.7929,                0.66027,                0.15278,                0.17908,                0.04718,                 2.4782,                 3.7111,                 2.9859,              0.0015845,              0.0015845,              0.0015845
                      7,                 2.6287,                 2.4412,                 2.6679,                0.59343,                   0.25,                0.17838,                0.05842,                 2.3307,                 2.9391,                 2.9688,               0.001568,               0.001568,               0.001568
                      8,                 2.4726,                 2.3714,                 2.6131,                0.38292,                0.48129,                0.31305,                0.09119,                 2.2317,                 2.5294,                 2.8801,              0.0015515,              0.0015515,              0.0015515
                      9,                 2.4769,                 2.3153,                 2.5496,                0.32619,                0.38889,                0.26309,                0.08933,                 2.3179,                  2.927,                 2.9654,               0.001535,               0.001535,               0.001535
                     10,                 2.3298,                 2.1921,                 2.4548,                0.34744,                0.41667,                0.32255,                0.11221,                 2.2085,                 2.7979,                  2.693,              0.0015185,              0.0015185,              0.0015185
                     11,                 2.2667,                 2.1795,                 2.4374,                0.33089,                0.43056,                0.31572,                0.12663,                 2.0664,                 2.4662,                 2.7034,               0.001502,               0.001502,               0.001502
                     12,                 2.1618,                 2.1575,                 2.3393,                0.30337,                0.30556,                0.28558,                0.10253,                 2.1375,                 2.4508,                 2.6563,              0.0014855,              0.0014855,              0.0014855
                     13,                 2.1835,                 2.1258,                 2.3557,                 0.4169,                0.41869,                0.28338,                0.13336,                 1.9052,                 2.4903,                  2.549,               0.001469,               0.001469,               0.001469
                     14,                 2.0702,                 2.0258,                 2.2689,                0.27533,                0.48611,                0.38941,                0.16283,                 1.9928,                 2.2957,                 2.4994,              0.0014525,              0.0014525,              0.0014525
                     15,                 2.1077,                 1.9613,                 2.2996,                0.41532,                0.52778,                0.43542,                 0.1802,                 1.8936,                 2.1717,                 2.4666,               0.001436,               0.001436,               0.001436
                     16,                 2.0223,                 1.9157,                 2.2121,                0.50537,                0.55556,                 0.5137,                0.21404,                 2.0046,                 1.8759,                 2.5974,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.9629,                 1.8661,                 2.1753,                0.43931,                0.51389,                0.47834,                0.21284,                 1.7979,                 2.0329,                 2.3853,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.9374,                 1.8652,                 2.1721,                0.50517,                0.37901,                 0.4408,                0.20886,                 1.8971,                 2.1993,                 2.4258,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.9405,                 1.8129,                 2.1629,                0.45624,                    0.5,                0.54603,                0.24471,                  1.844,                 2.0399,                 2.4434,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.9298,                 1.7603,                 2.1288,                0.46338,                0.52778,                0.40875,                0.15438,                 1.9985,                 2.3314,                 2.7122,              0.0013534,              0.0013534,              0.0013534
                     21,                  1.905,                 1.7695,                 2.1229,                0.63392,                0.55556,                 0.6343,                 0.3082,                 1.7113,                 1.9227,                 2.3834,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.7987,                 1.7272,                 2.0675,                0.54362,                  0.625,                 0.5972,                0.29077,                 1.7008,                 1.8378,                 2.3973,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.8451,                 1.7099,                 2.0933,                0.63452,                    0.5,                0.54938,                0.27757,                 1.8429,                 2.0351,                 2.5225,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.7357,                 1.6339,                 1.9908,                0.71596,                0.51132,                0.62373,                0.34321,                 1.5925,                 1.7013,                 2.2919,              0.0012874,              0.0012874,              0.0012874
                     25,                  1.748,                 1.6744,                 1.9757,                0.73753,                0.62536,                0.68548,                0.37241,                 1.5825,                 1.8136,                 2.2019,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.7117,                 1.6183,                 1.9633,                0.75197,                0.65278,                0.76911,                0.41799,                 1.5519,                 1.6027,                 2.2279,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.7693,                 1.6803,                 2.0074,                0.78832,                0.48794,                0.64035,                0.32937,                 1.5905,                 1.8374,                   2.17,              0.0012379,              0.0012379,              0.0012379
                     28,                  1.665,                 1.5764,                  1.937,                  0.708,                0.64002,                 0.7138,                0.32898,                 1.7341,                 1.6695,                  2.368,              0.0012214,              0.0012214,              0.0012214
                     29,                  1.743,                 1.5541,                 1.9753,                0.72991,                0.56502,                0.69507,                0.38661,                 1.4835,                 1.6498,                 2.1154,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.6747,                 1.5135,                 1.9252,                0.62552,                0.65355,                0.65508,                0.38418,                 1.4563,                 1.7894,                 2.0808,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.6617,                 1.5332,                 1.9172,                0.80434,                 0.6476,                0.71725,                0.40317,                 1.5716,                 1.5943,                 2.1601,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.7127,                 1.5484,                 1.9215,                0.82872,                0.69649,                0.78355,                0.42666,                  1.596,                 1.8252,                 2.2513,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.7603,                 1.5734,                 1.9708,                 0.6757,                0.74361,                0.76902,                0.41674,                 1.5633,                 1.6002,                 2.1395,              0.0011389,              0.0011389,              0.0011389
