                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2244,                 1.1803,                 1.3217,                0.70836,                0.71014,                 0.7699,                0.45128,                 1.3461,                 2.1669,                 1.5574,               0.000554,               0.000554,               0.000554
                      1,                 1.3418,                 1.2016,                 1.3965,                0.80858,                0.82127,                0.83011,                0.55445,                 1.0842,                 1.1413,                 1.3588,              0.0010877,              0.0010877,              0.0010877
                      2,                 1.2994,                 1.1464,                 1.3722,                0.74629,                0.80877,                0.81982,                0.51247,                 1.2321,                 1.2125,                 1.3393,              0.0015994,              0.0015994,              0.0015994
                      3,                 1.2584,                 1.0641,                 1.3424,                0.82091,                0.72665,                0.82556,                0.54834,                 1.1379,                 1.1674,                 1.3284,               0.001568,               0.001568,               0.001568
                      4,                 1.1857,                0.96338,                  1.298,                0.88654,                0.81923,                0.90896,                0.61342,                 1.0111,                0.93285,                 1.2128,               0.001568,               0.001568,               0.001568
                      5,                 1.1407,                0.89814,                 1.2752,                0.87743,                0.83333,                0.92405,                0.64161,                 1.0638,                0.92852,                 1.2733,               0.001535,               0.001535,               0.001535
                      6,                 1.0965,                 0.8363,                 1.2441,                0.89964,                0.86235,                0.91932,                0.67737,                 1.0124,                 0.7337,                 1.2375,               0.001502,               0.001502,               0.001502
                      7,                 1.0688,                0.79711,                 1.2245,                0.90597,                0.90278,                0.92608,                0.68151,                 1.0745,                   0.87,                 1.2539,               0.001469,               0.001469,               0.001469
                      8,                 1.0448,                0.77787,                 1.2097,                0.91058,                0.88889,                0.94097,                0.73494,                0.81392,                0.72697,                 1.0774,               0.001436,               0.001436,               0.001436
                      9,                 1.0115,                0.72797,                 1.1966,                0.86312,                0.91667,                0.95093,                0.69286,                 1.0072,                0.61215,                 1.2594,              0.0014029,              0.0014029,              0.0014029
                     10,                0.98371,                0.70119,                 1.1759,                 0.8739,                0.91889,                0.93608,                0.69247,                0.91163,                0.78123,                 1.1896,              0.0013699,              0.0013699,              0.0013699
                     11,                  0.968,                0.68498,                 1.1675,                0.90736,                0.91667,                 0.9628,                 0.7398,                0.83588,                0.59138,                 1.0896,              0.0013369,              0.0013369,              0.0013369
                     12,                  0.962,                0.66945,                  1.162,                0.91887,                0.93146,                0.96812,                0.74253,                0.90172,                  0.517,                 1.1342,              0.0013039,              0.0013039,              0.0013039
                     13,                0.94065,                0.64698,                 1.1487,                 0.9699,                0.92096,                0.97768,                0.76473,                0.77853,                0.47083,                 1.0696,              0.0012709,              0.0012709,              0.0012709
                     14,                0.92429,                0.62349,                 1.1411,                0.95398,                0.93056,                0.97021,                0.73494,                0.87719,                0.57321,                 1.1367,              0.0012379,              0.0012379,              0.0012379
                     15,                0.91741,                0.62075,                  1.138,                  0.855,                0.93468,                0.96143,                 0.7473,                0.95701,                0.57492,                 1.1786,              0.0012049,              0.0012049,              0.0012049
                     16,                0.89813,                0.59959,                 1.1311,                0.94315,                0.95786,                0.97176,                0.76258,                0.78444,                 0.5605,                 1.0638,              0.0011719,              0.0011719,              0.0011719
                     17,                0.88085,                0.58231,                  1.112,                0.93544,                0.93881,                0.95968,                0.74345,                0.87368,                0.60694,                 1.1064,              0.0011389,              0.0011389,              0.0011389
                     18,                0.86567,                0.58319,                 1.1094,                0.90041,                0.94865,                0.97023,                0.73391,                0.89586,                0.56131,                 1.1158,              0.0011059,              0.0011059,              0.0011059
                     19,                0.85629,                0.57317,                  1.108,                0.92701,                0.94005,                0.96473,                0.75289,                0.84439,                0.51648,                 1.0783,              0.0010729,              0.0010729,              0.0010729
                     20,                0.84325,                0.55643,                 1.0949,                0.86285,                0.94244,                0.95828,                0.72939,                0.96028,                0.59134,                 1.2121,              0.0010399,              0.0010399,              0.0010399
                     21,                 0.8323,                 0.5479,                  1.091,                0.94963,                0.92742,                0.97083,                0.76743,                0.85037,                0.54151,                 1.1357,              0.0010069,              0.0010069,              0.0010069
                     22,                0.82531,                0.54238,                  1.092,                0.87716,                0.94132,                0.95103,                0.75009,                0.85327,                0.54008,                 1.1095,             0.00097386,             0.00097386,             0.00097386
                     23,                0.82381,                0.53166,                 1.0879,                0.91416,                0.94444,                0.94447,                0.74776,                0.77972,                0.59017,                 1.0573,             0.00094085,             0.00094085,             0.00094085
                     24,                  0.809,                0.51178,                 1.0775,                0.94044,                0.96499,                0.97502,                0.77478,                0.85718,                0.50327,                 1.1421,             0.00090785,             0.00090785,             0.00090785
                     25,                0.79854,                0.50517,                   1.08,                0.98719,                0.91931,                0.97543,                 0.7382,                0.88435,                0.49022,                 1.1868,             0.00087484,             0.00087484,             0.00087484
