                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0262,                 1.7133,                 1.2337,                0.68247,                0.76389,                0.75437,                0.51928,                0.93039,                 3.5694,                 1.2035,             0.00051677,             0.00051677,             0.00051677
                      1,                 1.2291,                 1.3452,                  1.344,                0.12541,                0.54167,                0.10384,                0.04806,                 2.1199,                 50.521,                 3.9735,              0.0010294,              0.0010294,              0.0010294
                      2,                  1.427,                 1.4937,                  1.471,                0.00339,                0.34722,                0.00224,                0.00048,                  3.607,                    inf,                  74.78,              0.0015209,              0.0015209,              0.0015209
                      3,                 1.4905,                 1.4317,                  1.465,                0.13975,                0.40278,                0.16063,                0.05463,                 2.3994,                 36.116,                 3.3042,               0.001568,               0.001568,               0.001568
                      4,                 1.4051,                 1.4123,                 1.4074,                0.25809,                0.47653,                0.21602,                0.12363,                 2.2444,                 97.825,                 3.4547,               0.001568,               0.001568,               0.001568
                      5,                 1.3627,                 1.3941,                 1.4215,                0.00424,                0.29167,                0.00267,                0.00097,                 3.1515,                 158.38,                 5.4041,               0.001535,               0.001535,               0.001535
                      6,                 1.2827,                 1.2739,                  1.366,                0.38099,                0.36111,                0.29069,                0.17269,                 2.1183,                 2.8996,                 2.2156,               0.001502,               0.001502,               0.001502
                      7,                 1.2765,                 1.2786,                 1.3608,                0.82896,                0.61182,                0.77583,                 0.5262,                 1.0854,                 1.4814,                 1.3551,               0.001469,               0.001469,               0.001469
                      8,                 1.2625,                 1.2674,                 1.3774,                0.50725,                0.66667,                0.58018,                0.30316,                  1.564,                 1.9414,                 1.7365,               0.001436,               0.001436,               0.001436
                      9,                 1.1982,                 1.2092,                 1.3395,                0.83739,                 0.5859,                0.71769,                0.50685,                0.96343,                 1.2297,                 1.2457,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.1976,                 1.1774,                  1.313,                0.77467,                0.72664,                0.78377,                0.55634,                 1.0301,                 1.1627,                 1.2711,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.2552,                 1.2286,                 1.3614,                0.72575,                0.74054,                0.83413,                0.60732,                0.98939,                 1.4377,                 1.2813,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.2426,                 1.1449,                 1.3635,                 0.7284,                0.83333,                0.83627,                0.57593,                 1.1229,                 1.2409,                 1.3887,              0.0013039,              0.0013039,              0.0013039
