                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2174,                 1.5466,                 1.2271,                0.86873,                0.76177,                0.90112,                0.61694,                 1.0797,                 1.2752,                 1.1956,               0.000554,               0.000554,               0.000554
                      1,                 1.2608,                 1.1487,                 1.2747,                0.83317,                0.79532,                 0.8694,                0.58851,                 1.0419,                 1.0948,                 1.1935,              0.0010877,              0.0010877,              0.0010877
                      2,                 1.2758,                 1.1146,                 1.2887,                 0.8257,                0.69622,                0.83984,                0.52742,                 1.1796,                 1.2456,                 1.2961,              0.0015994,              0.0015994,              0.0015994
                      3,                 1.2414,                 1.0314,                 1.2732,                0.90343,                0.86446,                0.92784,                 0.6256,                 1.1018,                0.91512,                  1.236,               0.001568,               0.001568,               0.001568
                      4,                  1.208,                 0.9733,                 1.2554,                0.89824,                0.74588,                0.87652,                0.63214,                 1.0358,                 1.0696,                 1.2122,               0.001568,               0.001568,               0.001568
                      5,                 1.1601,                 0.9238,                 1.2305,                0.96754,                0.91264,                  0.953,                0.67938,                 1.0321,                0.78961,                 1.1714,               0.001535,               0.001535,               0.001535
                      6,                 1.1234,                0.85386,                 1.2025,                0.89015,                0.88889,                0.94828,                0.69184,                 1.0032,                0.86441,                 1.1912,               0.001502,               0.001502,               0.001502
                      7,                 1.1028,                0.83457,                 1.1918,                0.89242,                0.88889,                0.94894,                0.72175,                0.90621,                0.74266,                 1.1083,               0.001469,               0.001469,               0.001469
                      8,                 1.0911,                0.80691,                  1.187,                0.93888,                0.94444,                0.97224,                0.72879,                0.86035,                0.63717,                 1.1319,               0.001436,               0.001436,               0.001436
                      9,                  1.063,                0.77368,                 1.1772,                0.94429,                0.88596,                0.94294,                0.69729,                  1.001,                0.74808,                 1.2198,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.0541,                0.75866,                 1.1672,                 0.9309,                0.93871,                0.97373,                 0.7171,                0.95497,                0.68743,                 1.1537,              0.0013699,              0.0013699,              0.0013699
                     11,                   1.04,                 0.7392,                 1.1597,                0.91312,                0.94444,                0.93539,                0.68337,                 1.0068,                0.68708,                 1.1873,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.0192,                0.71814,                 1.1496,                0.94116,                0.95417,                0.97871,                0.72542,                0.95574,                0.71903,                 1.1292,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.0093,                0.71754,                 1.1415,                 0.9401,                0.85849,                0.94919,                0.71877,                0.82427,                 0.6309,                 1.1048,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.0039,                0.68799,                 1.1378,                0.91217,                0.95833,                0.96685,                0.72617,                0.86773,                 0.6293,                 1.0842,              0.0012379,              0.0012379,              0.0012379
                     15,                 0.9948,                0.68207,                 1.1312,                0.92984,                0.91248,                0.96358,                0.72442,                0.92842,                0.64613,                 1.1571,              0.0012049,              0.0012049,              0.0012049
                     16,                0.97935,                 0.6656,                  1.128,                0.97734,                0.93797,                0.97637,                0.76447,                0.88898,                0.56615,                  1.142,              0.0011719,              0.0011719,              0.0011719
                     17,                0.95808,                0.64966,                 1.1142,                0.97576,                0.93393,                0.98322,                0.74043,                0.94579,                0.61204,                 1.1631,              0.0011389,              0.0011389,              0.0011389
                     18,                0.94968,                0.63719,                 1.1142,                0.92281,                0.91155,                0.95987,                0.71415,                0.90435,                0.69965,                 1.1258,              0.0011059,              0.0011059,              0.0011059
                     19,                0.95051,                0.64055,                 1.1134,                0.90633,                0.92405,                0.96926,                0.73995,                 0.8853,                 0.6621,                 1.1488,              0.0010729,              0.0010729,              0.0010729
                     20,                0.92485,                0.61719,                 1.0991,                0.93724,                0.92192,                  0.964,                0.73613,                0.83945,                0.70003,                 1.0825,              0.0010399,              0.0010399,              0.0010399
                     21,                 0.9162,                0.60453,                  1.091,                0.95558,                0.92205,                0.97976,                0.78171,                0.78033,                 0.5665,                 1.0713,              0.0010069,              0.0010069,              0.0010069
                     22,                0.90716,                0.60039,                 1.0907,                 0.9643,                0.93056,                0.97691,                0.76559,                  0.839,                0.66687,                 1.0658,             0.00097386,             0.00097386,             0.00097386
                     23,                0.91527,                  0.596,                 1.0915,                0.92998,                0.95471,                0.97209,                0.78046,                0.75277,                0.52876,                 1.0147,             0.00094085,             0.00094085,             0.00094085
                     24,                0.89941,                0.58142,                 1.0848,                0.92796,                0.93056,                0.97654,                0.75533,                0.84622,                0.52874,                 1.0983,             0.00090785,             0.00090785,             0.00090785
                     25,                0.88757,                0.57803,                 1.0864,                0.92239,                0.96705,                 0.9798,                 0.7556,                0.91207,                0.57406,                 1.1422,             0.00087484,             0.00087484,             0.00087484
                     26,                0.87588,                0.57032,                 1.0746,                0.97765,                0.95833,                0.98327,                0.76495,                0.85162,                0.45582,                 1.0761,             0.00084184,             0.00084184,             0.00084184
                     27,                0.87285,                0.56112,                 1.0714,                0.98169,                0.98611,                0.98995,                0.77647,                0.74845,                0.43393,                 1.0302,             0.00080883,             0.00080883,             0.00080883
                     28,                0.85348,                0.54582,                 1.0644,                0.88821,                0.98057,                 0.9755,                0.77965,                0.75667,                0.51405,                 1.0257,             0.00077582,             0.00077582,             0.00077582
                     29,                0.84514,                0.54138,                 1.0626,                0.95245,                0.98611,                0.98514,                0.77504,                 0.7953,                0.47282,                 1.0603,             0.00074282,             0.00074282,             0.00074282
                     30,                0.84607,                0.53723,                 1.0628,                0.93256,                0.98611,                0.97802,                0.78174,                0.80136,                0.55014,                 1.0444,             0.00070981,             0.00070981,             0.00070981
                     31,                0.84301,                0.52928,                 1.0583,                0.96857,                0.95833,                0.98988,                0.79727,                0.73615,                0.45594,                 1.0257,              0.0006768,              0.0006768,              0.0006768
                     32,                0.82635,                0.52076,                 1.0521,                0.97055,                0.91625,                0.98199,                0.81169,                0.69861,                0.45902,                 1.0135,              0.0006438,              0.0006438,              0.0006438
                     33,                0.81976,                0.51595,                 1.0482,                0.97066,                0.91475,                0.97818,                0.79867,                0.73311,                0.47475,                 1.0325,             0.00061079,             0.00061079,             0.00061079
                     34,                0.81152,                 0.5086,                 1.0441,                0.93378,                0.95833,                0.98758,                0.81867,                0.69612,                0.43151,                 1.0244,             0.00057778,             0.00057778,             0.00057778
                     35,                0.79751,                0.50066,                 1.0426,                0.93002,                0.91987,                0.97892,                 0.7908,                0.69772,                 0.5478,                  1.034,             0.00054478,             0.00054478,             0.00054478
                     36,                0.79976,                0.50225,                 1.0418,                0.93838,                0.97222,                 0.9874,                0.79065,                0.68443,                0.43565,                 1.0163,             0.00051177,             0.00051177,             0.00051177
                     37,                0.78022,                0.49214,                 1.0355,                0.93246,                0.96957,                0.98338,                0.81273,                0.68923,                0.51208,                 1.0252,             0.00047876,             0.00047876,             0.00047876
                     38,                0.77257,                0.48833,                 1.0352,                0.96514,                0.93894,                 0.9815,                0.79815,                0.66517,                0.47325,                 1.0251,             0.00044576,             0.00044576,             0.00044576
                     39,                0.76515,                0.47787,                 1.0252,                0.91573,                0.92716,                0.96881,                0.77748,                0.70901,                0.58943,                 1.0546,             0.00041275,             0.00041275,             0.00041275
                     40,                0.58367,                0.31102,                0.91407,                0.91634,                0.95624,                0.97427,                0.78213,                0.70126,                0.50624,                 1.0552,             0.00037974,             0.00037974,             0.00037974
                     41,                0.56089,                0.29439,                0.90602,                0.95578,                0.95833,                0.97792,                0.77355,                0.70303,                  0.479,                 1.0688,             0.00034674,             0.00034674,             0.00034674
                     42,                 0.5412,                 0.2876,                0.89652,                0.96357,                 0.9145,                0.97537,                0.79802,                0.67836,                0.46679,                 1.0433,             0.00031373,             0.00031373,             0.00031373
                     43,                0.52974,                0.27875,                0.89025,                0.93756,                0.94625,                0.98017,                0.79137,                0.69006,                0.58807,                 1.0366,             0.00028072,             0.00028072,             0.00028072
                     44,                0.52255,                0.27659,                0.88719,                0.99965,                0.91597,                0.98147,                 0.7873,                0.73261,                0.53898,                 1.0478,             0.00024772,             0.00024772,             0.00024772
                     45,                0.50855,                0.26833,                0.88534,                0.97205,                0.94366,                0.99048,                  0.801,                0.66654,                0.46613,                 1.0472,             0.00021471,             0.00021471,             0.00021471
                     46,                 0.4976,                0.26154,                0.87886,                0.96384,                0.92708,                0.97796,                 0.8068,                0.63672,                0.48952,                 1.0268,              0.0001817,              0.0001817,              0.0001817
                     47,                0.49124,                0.25789,                0.87358,                0.98171,                0.95334,                0.98612,                0.79738,                0.69201,                0.44871,                 1.0446,              0.0001487,              0.0001487,              0.0001487
                     48,                0.48426,                 0.2524,                0.87196,                0.97299,                0.92895,                0.98485,                0.80397,                0.68163,                0.50098,                 1.0501,             0.00011569,             0.00011569,             0.00011569
                     49,                0.47851,                0.25041,                0.87357,                0.98028,                0.94174,                0.98632,                0.81148,                0.70289,                0.48469,                 1.0543,             8.2683e-05,             8.2683e-05,             8.2683e-05
