                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.1867,                 4.0478,                 4.2302,                0.00385,                0.43056,                0.00814,                0.00159,                 2.9911,                 4.0712,                 4.1453,             0.00051677,             0.00051677,             0.00051677
                      1,                 3.7372,                 3.4025,                 3.9578,                0.00351,                0.40278,                0.00655,                0.00136,                 2.9517,                 4.4246,                 4.1304,              0.0010398,              0.0010398,              0.0010398
                      2,                 3.4577,                 3.1074,                 3.5781,                0.00315,                0.08333,                0.00752,                0.00127,                 2.9976,                 5.2321,                 4.3524,              0.0015523,              0.0015523,              0.0015523
                      3,                 3.2144,                 2.9524,                 3.3158,                0.01312,                0.05556,                0.02336,                0.00663,                 2.7484,                 3.2636,                 3.4617,              0.0016175,              0.0016175,              0.0016175
                      4,                  2.987,                 2.8458,                 3.0691,                0.03914,                0.02778,                 0.0083,                0.00214,                 2.8407,                 6.3023,                 3.4279,              0.0016175,              0.0016175,              0.0016175
                      5,                 2.9176,                 2.7563,                 2.9154,                0.21068,                0.16667,                0.14451,                0.04836,                 2.6315,                 2.9027,                 2.9205,               0.001601,               0.001601,               0.001601
                      6,                 2.7969,                 2.6111,                 2.7886,                0.03383,                0.30556,                 0.0302,                 0.0089,                  2.853,                 12.283,                 3.3775,              0.0015845,              0.0015845,              0.0015845
                      7,                 2.6319,                 2.5008,                 2.6801,                0.21529,                0.41969,                0.19479,                0.06122,                 2.4074,                 3.8922,                 2.8638,               0.001568,               0.001568,               0.001568
                      8,                 2.5282,                 2.3802,                 2.5896,                0.16935,                0.48139,                0.22853,                0.07572,                 2.5204,                 2.6593,                 2.7278,              0.0015515,              0.0015515,              0.0015515
                      9,                 2.4852,                 2.2922,                  2.518,                0.23484,                  0.375,                 0.1592,                0.05452,                  2.401,                 2.9705,                 2.7228,               0.001535,               0.001535,               0.001535
                     10,                 2.3858,                 2.2738,                 2.4432,                0.23583,                0.32553,                0.23626,                0.08367,                 2.3138,                 2.4278,                 2.5848,              0.0015185,              0.0015185,              0.0015185
                     11,                 2.2949,                 2.1694,                  2.421,                0.29118,                0.40278,                0.29169,                0.11505,                 2.1711,                 2.4153,                 2.6028,               0.001502,               0.001502,               0.001502
                     12,                 2.2592,                 2.1368,                 2.3843,                0.40953,                 0.3627,                0.40887,                0.14504,                 2.0786,                 2.2935,                 2.5223,              0.0014855,              0.0014855,              0.0014855
                     13,                  2.158,                 2.0731,                 2.3035,                0.55921,                0.41534,                0.51197,                0.19896,                 1.9482,                 2.1797,                 2.3564,               0.001469,               0.001469,               0.001469
                     14,                 2.1334,                   2.08,                 2.3074,                0.34571,                0.33333,                0.31066,                0.11032,                 2.1866,                 2.3458,                 2.6408,              0.0014525,              0.0014525,              0.0014525
                     15,                 2.1065,                 2.0427,                 2.2861,                0.37628,                0.59722,                0.47536,                0.18722,                 1.9801,                 2.0193,                 2.3609,               0.001436,               0.001436,               0.001436
                     16,                 2.0642,                 1.9717,                 2.2269,                0.65469,                0.40278,                0.55338,                0.21566,                  2.059,                 2.0863,                 2.4935,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.9792,                 1.8254,                 2.1756,                0.26594,                0.56944,                0.42412,                0.17088,                 2.1137,                 3.0151,                 2.5082,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.9939,                 1.9167,                 2.1864,                0.50494,                0.58555,                0.54947,                0.24363,                 1.9979,                 1.8935,                 2.3472,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.9437,                 1.8108,                 2.1163,                0.69664,                0.59344,                0.67561,                0.28908,                 1.8718,                 1.7548,                 2.2544,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.9149,                 1.7536,                 2.0813,                0.66641,                 0.5721,                0.59634,                0.27731,                 1.7228,                 1.8965,                 2.0624,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.9279,                 1.7839,                  2.103,                0.71725,                0.69444,                 0.7541,                0.37374,                 1.7568,                 1.6437,                 2.0905,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.7811,                 1.7451,                 2.0345,                0.64675,                0.63889,                0.64834,                0.29189,                 1.7953,                 1.7121,                 2.1992,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.8026,                 1.6585,                 1.9916,                0.49456,                0.66667,                0.60568,                0.27803,                 1.8184,                 1.9287,                 2.2882,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.8542,                 1.6656,                 2.0526,                0.66969,                0.63391,                0.69243,                0.34891,                 1.7781,                 1.7043,                 2.1759,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.8819,                 1.7376,                 2.0183,                0.69109,                0.59722,                0.71278,                0.34344,                 1.7442,                 1.6244,                 2.0625,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.7392,                 1.6017,                 1.9371,                0.82785,                0.73577,                0.82073,                0.39038,                 1.7549,                 1.5705,                  2.144,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.7281,                 1.6219,                 1.9553,                 0.6479,                0.65599,                0.68468,                0.38776,                 1.6379,                 1.5986,                 2.0163,              0.0012379,              0.0012379,              0.0012379
                     28,                  1.756,                 1.6321,                 1.9654,                0.85215,                0.61111,                0.77193,                0.42596,                 1.6215,                  1.549,                 1.9724,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.6991,                 1.6162,                 1.9117,                0.71326,                0.72222,                0.79111,                0.43832,                 1.5795,                 1.4717,                 1.9546,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.7289,                 1.5551,                 1.9312,                0.65971,                0.66975,                0.72301,                0.36138,                 1.7051,                 1.5596,                 2.1181,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.6842,                 1.5902,                 1.8935,                0.79629,                0.59016,                0.72949,                0.40398,                 1.5937,                 1.7719,                 1.9655,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.6423,                 1.5219,                 1.8567,                0.80439,                0.72222,                0.80971,                0.46301,                 1.5765,                 1.3782,                 1.9124,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.6161,                 1.5628,                 1.8417,                0.73126,                 0.7557,                0.80135,                0.46829,                 1.5465,                 1.3957,                 1.9319,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.6677,                 1.4962,                 1.8954,                0.67836,                0.56853,                0.68593,                  0.398,                 1.5138,                  1.648,                 1.9491,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.6273,                 1.5461,                 1.8713,                0.60822,                0.75198,                0.70285,                 0.3927,                 1.5305,                 2.1848,                 1.9618,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.6305,                 1.4692,                 1.8717,                 0.8049,                0.74712,                0.81015,                0.46978,                 1.4664,                 1.3625,                  1.909,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.6184,                  1.468,                 1.8004,                 0.8084,                0.76379,                0.83409,                0.51859,                  1.368,                 1.3927,                 1.8152,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.5891,                  1.475,                 1.7922,                0.72022,                0.75287,                0.78682,                0.46056,                 1.4992,                 1.3321,                 1.7977,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.6132,                 1.4885,                 1.8292,                0.79067,                0.75354,                0.80572,                0.49233,                 1.3556,                 1.3847,                  1.734,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.5576,                 1.4192,                 1.7738,                0.74392,                 0.7304,                0.79202,                0.46662,                 1.5273,                 1.3635,                 1.9495,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.5672,                 1.3566,                  1.794,                0.75587,                0.71296,                0.81798,                0.49678,                 1.3536,                 1.4973,                 1.7725,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.5392,                 1.3956,                 1.7528,                0.73109,                0.74139,                0.79252,                0.50186,                 1.3099,                 1.4042,                 1.7247,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.5353,                 1.4163,                 1.7897,                0.88343,                0.66608,                0.80155,                 0.5072,                 1.3607,                 1.3063,                 1.7708,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.5474,                 1.3822,                 1.7756,                0.74221,                 0.6827,                0.80626,                0.53384,                 1.3019,                 1.3608,                 1.7559,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.5189,                 1.3726,                 1.7381,                0.75239,                0.70957,                0.78129,                0.48617,                 1.4405,                 1.3795,                 1.7616,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.5183,                  1.383,                 1.7625,                0.84513,                0.68056,                0.79222,                0.50528,                 1.4302,                 1.4279,                 1.8124,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.5409,                   1.39,                 1.7601,                0.78787,                0.70872,                0.81887,                0.51806,                 1.3575,                 1.2673,                 1.7805,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.4498,                 1.3291,                 1.6906,                0.75962,                  0.729,                0.78865,                0.49841,                 1.3365,                 1.4212,                 1.7624,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.5088,                 1.3146,                 1.7648,                0.79831,                0.77778,                0.86353,                0.52625,                 1.3605,                  1.303,                 1.8336,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.4532,                 1.3385,                 1.6897,                0.89337,                0.68883,                0.81366,                0.48775,                 1.4119,                 1.4128,                 1.7869,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.4889,                 1.3437,                 1.7456,                 0.7747,                0.72222,                0.80821,                 0.4986,                 1.3781,                 1.3371,                 1.8573,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.4112,                 1.3128,                 1.6762,                0.82568,                0.68948,                0.83896,                0.55703,                 1.2983,                 1.2877,                 1.6991,             0.00082533,             0.00082533,             0.00082533
