                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.0405,                  4.047,                 4.2455,                 0.0038,                0.44444,                0.00618,                0.00123,                 2.9942,                  4.073,                 4.1434,             0.00051677,             0.00051677,             0.00051677
                      1,                 3.7173,                 3.4278,                 3.9853,                0.00377,                0.41667,                 0.0225,                 0.0043,                 2.9737,                 4.4515,                 4.1553,              0.0010398,              0.0010398,              0.0010398
                      2,                 3.4461,                 3.0311,                 3.5306,                0.00503,                0.31944,                0.03302,                0.00531,                 3.0375,                 4.6332,                 4.2513,              0.0015523,              0.0015523,              0.0015523
                      3,                 3.1202,                 2.8603,                 3.1693,                0.04437,                0.06944,                0.02341,                0.00591,                 2.8397,                 3.7311,                 3.6312,              0.0016175,              0.0016175,              0.0016175
                      4,                 2.9849,                 2.7412,                 2.9265,                0.12313,                0.22222,                0.07382,                0.01701,                 2.7403,                 5.6563,                   3.13,              0.0016175,              0.0016175,              0.0016175
                      5,                 2.8883,                 2.6242,                 2.8071,                0.05214,                0.52947,                0.08723,                0.02698,                 2.7561,                 8.5508,                 3.1417,               0.001601,               0.001601,               0.001601
                      6,                 2.7407,                 2.4835,                 2.7081,                0.12604,                0.30556,                0.14203,                0.04242,                 2.5199,                 3.1684,                 2.9237,              0.0015845,              0.0015845,              0.0015845
                      7,                 2.6037,                 2.4962,                 2.6441,                 0.1919,                    0.5,                 0.1999,                0.05895,                 2.4481,                 5.0684,                 2.7947,               0.001568,               0.001568,               0.001568
                      8,                 2.5517,                 2.3935,                 2.5804,                0.18139,                0.38889,                0.15092,                0.04627,                 2.3696,                 3.5333,                  2.632,              0.0015515,              0.0015515,              0.0015515
                      9,                 2.3877,                 2.3265,                 2.4923,                0.51366,                0.31944,                0.25471,                0.08995,                 2.3037,                 2.7721,                 2.6796,               0.001535,               0.001535,               0.001535
                     10,                 2.3451,                 2.2816,                 2.4257,                0.24044,                 0.1993,                0.25515,                0.08564,                  2.478,                 2.7854,                 2.8812,              0.0015185,              0.0015185,              0.0015185
                     11,                 2.3195,                 2.2655,                 2.4117,                  0.278,                    0.5,                0.26966,                0.11608,                 2.0555,                 3.0861,                 2.4143,               0.001502,               0.001502,               0.001502
                     12,                 2.2629,                 2.1337,                 2.3539,                0.32131,                0.44444,                0.32751,                0.13707,                 2.0639,                 2.3611,                 2.3805,              0.0014855,              0.0014855,              0.0014855
                     13,                   2.19,                 2.0123,                 2.2962,                 0.3951,                0.54167,                 0.4464,                0.17307,                 1.9895,                 2.2758,                 2.3457,               0.001469,               0.001469,               0.001469
                     14,                 2.1292,                 2.0101,                 2.2902,                0.39542,                0.47222,                0.41609,                0.15274,                 2.0123,                 2.2819,                 2.3782,              0.0014525,              0.0014525,              0.0014525
                     15,                 2.0723,                 1.9561,                  2.233,                0.46297,                0.41667,                0.40635,                0.16282,                 1.9474,                 2.2036,                 2.3873,               0.001436,               0.001436,               0.001436
                     16,                 2.0139,                 1.9501,                 2.1606,                0.21866,                0.54526,                0.31936,                0.12549,                 2.0856,                 2.9317,                 2.3984,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.9645,                 1.8977,                 2.1811,                0.51058,                 0.5523,                0.50782,                0.24167,                 1.8176,                 1.9302,                 2.1174,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.9789,                 1.8723,                 2.1374,                0.50854,                0.57451,                0.58797,                0.27107,                 1.8462,                 1.9775,                 2.2097,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.9629,                  1.906,                  2.121,                0.67214,                0.52778,                0.63369,                0.30794,                 1.8218,                 1.7903,                 2.2114,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.8965,                 1.8344,                 2.0708,                0.39455,                0.43601,                0.38736,                 0.1728,                 2.1959,                 2.1686,                 2.4591,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.8789,                 1.7439,                 2.0334,                0.67534,                0.65331,                0.68361,                0.29353,                 1.7819,                 1.6833,                 2.1066,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.8237,                  1.743,                 2.0307,                0.61001,                0.71666,                0.68231,                0.30329,                 1.7452,                 1.7428,                 2.1697,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.8261,                 1.7391,                 1.9781,                0.67197,                 0.5813,                0.63353,                0.31607,                  1.758,                 1.7359,                 2.0617,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.8973,                 1.7575,                 2.0184,                0.65829,                   0.75,                0.75019,                0.37355,                 1.7345,                 1.4677,                 2.0242,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.8348,                 1.6876,                 1.9743,                0.66187,                0.65278,                0.69559,                 0.3653,                  1.649,                 1.8891,                 1.9849,              0.0012709,              0.0012709,              0.0012709
                     26,                  1.782,                 1.7378,                 1.9443,                0.70645,                0.67578,                0.73965,                0.39806,                 1.6149,                 1.6028,                 1.9727,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.8237,                 1.6648,                 1.9882,                0.62435,                0.68043,                0.72569,                0.41348,                 1.6903,                  1.579,                 2.0092,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.7026,                 1.6221,                 1.9074,                  0.651,                0.66595,                0.71098,                0.34875,                 1.5778,                 1.9476,                 1.9109,              0.0012214,              0.0012214,              0.0012214
                     29,                   1.71,                 1.6103,                 1.9167,                0.74586,                0.61722,                0.72689,                0.40499,                  1.568,                 1.5718,                 1.9594,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.6842,                 1.6146,                 1.8984,                 0.6981,                0.63409,                0.70905,                0.36699,                 1.5878,                  1.625,                 1.9278,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.6439,                 1.5606,                 1.8853,                0.63512,                0.65278,                0.66885,                0.39584,                 1.5115,                 1.9011,                 1.8711,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.6779,                 1.5525,                 1.8885,                0.76798,                0.65278,                0.76676,                0.44982,                 1.4991,                 1.4871,                 1.8478,              0.0011554,              0.0011554,              0.0011554
                     33,                  1.661,                 1.5026,                  1.842,                0.71387,                 0.7182,                0.77251,                0.40783,                 1.5665,                 1.5493,                 1.8638,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.6227,                 1.4841,                 1.8285,                0.77656,                0.68056,                0.77702,                0.43832,                 1.4378,                  1.471,                 1.8311,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.6066,                 1.4472,                 1.8123,                0.76644,                0.65533,                 0.7538,                0.45842,                 1.4562,                 1.5859,                 1.8468,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.6123,                 1.5206,                 1.8309,                0.61612,                0.73372,                0.73552,                0.44408,                 1.5183,                 1.4632,                 1.8543,              0.0010894,              0.0010894,              0.0010894
                     37,                  1.608,                 1.4908,                 1.8333,                0.83636,                0.63826,                0.77699,                0.46681,                 1.4865,                  1.487,                 1.8275,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.5796,                 1.4621,                 1.8212,                0.71441,                0.69444,                0.72488,                0.44908,                  1.495,                 1.6709,                 1.8283,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.5705,                 1.4338,                 1.7903,                 0.7268,                0.76977,                0.78682,                0.49834,                 1.3627,                 1.3524,                 1.7718,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.4951,                 1.3834,                 1.7414,                0.73528,                0.65278,                 0.7345,                0.46772,                 1.3873,                 1.4049,                 1.7517,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.5184,                 1.3954,                 1.7587,                0.82473,                0.70762,                0.80993,                0.52395,                 1.3279,                 1.3634,                 1.6699,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.4934,                 1.3385,                 1.7492,                0.85315,                0.71144,                0.81404,                0.52363,                 1.2869,                 1.3663,                 1.6542,             0.00099036,             0.00099036,             0.00099036
                     43,                    1.5,                 1.3755,                  1.742,                0.86606,                0.68563,                0.79743,                0.47633,                 1.4782,                  1.424,                  1.799,             0.00097386,             0.00097386,             0.00097386
                     44,                  1.521,                 1.3783,                 1.7685,                  0.764,                 0.8095,                0.86023,                0.52836,                 1.4041,                 1.2396,                 1.7665,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.4525,                 1.3363,                 1.6848,                0.70458,                   0.75,                0.75274,                0.45767,                 1.4182,                 1.4218,                 1.7817,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.5137,                 1.4197,                 1.7825,                0.83588,                0.64817,                 0.8203,                0.48616,                 1.4952,                 1.3081,                 1.8304,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.4312,                 1.2736,                 1.6691,                  0.825,                0.70361,                0.79428,                 0.5333,                 1.2494,                  1.287,                 1.6068,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.4894,                  1.366,                 1.7227,                0.81079,                0.74741,                0.84268,                0.53122,                 1.3634,                 1.2622,                 1.7056,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.4868,                 1.3297,                 1.7144,                0.79446,                0.75851,                0.83035,                0.54082,                 1.2411,                 1.3595,                 1.6346,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.4545,                 1.3079,                 1.7012,                0.84108,                0.72222,                0.84782,                0.55571,                 1.3803,                 1.2663,                 1.7493,             0.00085834,             0.00085834,             0.00085834
                     51,                  1.383,                 1.2832,                  1.644,                0.75725,                0.81461,                0.84121,                0.53976,                 1.2907,                 1.3435,                 1.6438,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.4311,                 1.2905,                 1.6391,                 0.7975,                0.77778,                0.85137,                0.53794,                 1.2828,                 1.2585,                 1.6514,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.4701,                 1.3003,                 1.6935,                0.75315,                0.86111,                0.85229,                0.55161,                  1.309,                 1.3047,                  1.749,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.4301,                 1.2721,                 1.6672,                0.70951,                0.79167,                0.82227,                0.53134,                 1.2784,                  1.444,                  1.694,             0.00079233,             0.00079233,             0.00079233
                     55,                  1.427,                 1.2411,                   1.67,                0.77407,                0.79167,                0.88327,                0.57892,                 1.2344,                 1.1662,                 1.6595,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.3924,                 1.2316,                 1.6589,                0.75003,                0.86509,                 0.8603,                 0.5367,                 1.2943,                 1.3375,                 1.6323,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.4277,                 1.2909,                 1.6872,                0.82466,                0.79167,                0.84807,                0.55679,                 1.2553,                 1.4132,                 1.6215,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.3711,                  1.281,                 1.6374,                0.84332,                0.75398,                0.85235,                0.53739,                 1.3547,                 1.3043,                 1.7039,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.4153,                 1.2632,                  1.659,                0.88567,                0.77778,                0.87577,                0.54077,                  1.334,                 1.2147,                 1.7532,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.4078,                 1.2331,                 1.6633,                0.85753,                0.77172,                0.87685,                0.59955,                 1.2526,                 1.2145,                 1.6467,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.3667,                 1.2583,                 1.6627,                 0.8771,                   0.75,                0.87528,                0.58473,                   1.28,                 1.1641,                 1.6572,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.3713,                 1.2107,                  1.648,                0.87858,                0.75576,                0.86176,                0.57587,                 1.2947,                 1.2382,                 1.6596,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.3875,                 1.1929,                 1.6417,                0.86486,                0.77337,                0.89585,                0.60658,                 1.1724,                 1.2149,                 1.5551,              0.0006438,              0.0006438,              0.0006438
                     64,                  1.339,                 1.1857,                 1.6348,                 0.9021,                0.75504,                0.88424,                0.57315,                 1.2524,                 1.2639,                 1.6166,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.3544,                 1.1746,                   1.62,                0.81882,                 0.8574,                0.88586,                0.59161,                 1.2723,                 1.1833,                 1.6433,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.3424,                 1.1861,                 1.5799,                0.86444,                0.87123,                0.89482,                0.59783,                 1.2172,                  1.176,                 1.5926,             0.00059429,             0.00059429,             0.00059429
                     67,                 1.3581,                 1.2136,                 1.6427,                0.82754,                0.78913,                0.89646,                0.59745,                 1.2552,                 1.0783,                 1.6089,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.3334,                 1.1909,                 1.6231,                0.80529,                0.85357,                0.87845,                0.60325,                 1.1893,                 1.1186,                 1.5816,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.3026,                 1.1524,                 1.5662,                0.85707,                 0.8029,                0.87484,                0.61856,                 1.1056,                 1.1473,                 1.5071,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.3414,                 1.1086,                 1.5832,                0.82589,                0.79167,                0.88115,                0.58358,                 1.2415,                 1.1486,                 1.5794,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.3262,                 1.1423,                 1.6081,                0.83251,                0.87791,                0.90574,                0.60455,                 1.2181,                 1.2029,                 1.6084,             0.00051177,             0.00051177,             0.00051177
                     72,                 1.2573,                 1.1022,                  1.554,                0.78793,                0.81912,                0.88327,                0.59763,                   1.17,                 1.1761,                 1.5873,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.2907,                 1.1615,                  1.586,                0.83179,                0.83409,                0.88229,                0.61672,                 1.1778,                 1.2051,                  1.584,             0.00047876,             0.00047876,             0.00047876
                     74,                 1.2992,                 1.1423,                 1.5615,                0.85299,                0.81746,                0.88831,                0.60842,                 1.2041,                 1.1073,                 1.5768,             0.00046226,             0.00046226,             0.00046226
                     75,                 1.3196,                 1.1266,                 1.6099,                 0.8295,                0.83187,                0.87259,                0.59321,                 1.2141,                  1.229,                 1.5759,             0.00044576,             0.00044576,             0.00044576
                     76,                 1.3268,                 1.1312,                 1.6074,                0.84859,                0.84277,                0.89451,                0.61708,                 1.2093,                 1.0801,                 1.6299,             0.00042925,             0.00042925,             0.00042925
                     77,                 1.2566,                 1.1018,                 1.5483,                0.87652,                0.80143,                0.88323,                0.61411,                 1.1932,                 1.2275,                 1.6009,             0.00041275,             0.00041275,             0.00041275
                     78,                 1.3151,                 1.1396,                 1.6075,                0.87546,                0.80783,                0.88463,                0.60063,                 1.2268,                 1.1166,                 1.5858,             0.00039625,             0.00039625,             0.00039625
                     79,                 1.2634,                 1.1079,                 1.5547,                0.81953,                0.85322,                0.89001,                0.61717,                 1.1728,                 1.1551,                 1.5538,             0.00037974,             0.00037974,             0.00037974
                     80,                 1.2691,                 1.0783,                 1.5393,                0.87435,                0.87732,                 0.8956,                0.61852,                 1.1888,                 1.1824,                 1.5677,             0.00036324,             0.00036324,             0.00036324
                     81,                 1.2631,                 1.0758,                  1.556,                0.83161,                0.85545,                0.88574,                0.61253,                  1.174,                 1.0572,                 1.5723,             0.00034674,             0.00034674,             0.00034674
                     82,                 1.2142,                 1.0385,                 1.5114,                0.83937,                0.86111,                0.88327,                 0.5996,                 1.2332,                  1.111,                 1.6262,             0.00033023,             0.00033023,             0.00033023
                     83,                 1.2515,                 1.0929,                 1.5583,                0.82974,                0.84722,                0.87939,                0.60225,                 1.2258,                  1.175,                 1.6245,             0.00031373,             0.00031373,             0.00031373
                     84,                  1.218,                 1.0802,                  1.524,                 0.8833,                0.81033,                0.88612,                0.61892,                 1.1852,                 1.0573,                 1.5826,             0.00029723,             0.00029723,             0.00029723
                     85,                 1.2218,                 1.0797,                 1.5275,                0.87202,                0.76389,                0.88011,                0.61192,                 1.1461,                 1.0485,                  1.563,             0.00028072,             0.00028072,             0.00028072
                     86,                 1.2163,                 1.0389,                 1.5296,                0.87688,                0.80532,                0.89125,                0.62073,                 1.1529,                 1.0488,                 1.5351,             0.00026422,             0.00026422,             0.00026422
                     87,                  1.243,                 1.0749,                 1.5574,                0.80233,                  0.875,                0.88934,                0.62502,                 1.0966,                 1.0416,                 1.4985,             0.00024772,             0.00024772,             0.00024772
                     88,                 1.2104,                   1.02,                 1.5107,                0.85819,                0.85056,                0.91463,                 0.6263,                 1.2038,                 1.0831,                 1.5576,             0.00023121,             0.00023121,             0.00023121
                     89,                 1.2497,                 1.0665,                  1.536,                0.84562,                  0.875,                0.89107,                0.62081,                 1.1171,                 1.1475,                 1.5237,             0.00021471,             0.00021471,             0.00021471
                     90,                0.98327,                0.99774,                 1.4006,                0.86609,                0.81944,                0.88779,                0.63002,                 1.0875,                 1.1768,                 1.4916,             0.00019821,             0.00019821,             0.00019821
                     91,                 0.9845,                0.91724,                 1.3971,                0.82817,                0.86948,                0.88878,                0.62765,                 1.0769,                 1.0682,                 1.4969,              0.0001817,              0.0001817,              0.0001817
                     92,                 0.9495,                0.84277,                  1.367,                 0.9138,                0.80193,                0.89836,                0.64859,                 1.0637,                 0.9935,                 1.4641,              0.0001652,              0.0001652,              0.0001652
                     93,                0.96083,                0.80355,                 1.3623,                0.88328,                0.83325,                0.89573,                0.63769,                 1.0847,                 1.0595,                 1.4795,              0.0001487,              0.0001487,              0.0001487
                     94,                0.92686,                0.76432,                 1.3474,                0.86618,                0.82194,                0.88481,                0.63143,                 1.0673,                 1.0686,                 1.5031,             0.00013219,             0.00013219,             0.00013219
                     95,                0.95095,                0.77194,                 1.3647,                0.86447,                0.84626,                 0.8944,                0.63441,                 1.0906,                 1.0236,                 1.4905,             0.00011569,             0.00011569,             0.00011569
                     96,                0.95898,                0.79018,                 1.3587,                0.85601,                0.84728,                0.90014,                 0.6365,                 1.0891,                0.99627,                   1.49,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.91745,                0.75293,                 1.3255,                0.90162,                0.83333,                 0.9071,                0.63766,                 1.0966,                 1.0358,                 1.4971,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.91271,                 0.7357,                 1.3339,                0.91266,                0.84428,                0.91224,                 0.6501,                 1.0948,                 1.0187,                  1.497,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.91503,                0.73381,                 1.3087,                0.87914,                0.83845,                0.91485,                 0.6599,                  1.095,                0.99794,                 1.4884,             4.9677e-05,             4.9677e-05,             4.9677e-05
