                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1401,                 2.4468,                  1.205,                0.57128,                0.69444,                0.64072,                 0.4845,                0.73987,                   1.82,                0.88945,             0.00051677,             0.00051677,             0.00051677
                      1,                 1.1812,                 1.5332,                 1.2217,                 0.6809,                0.76389,                0.73421,                 0.4574,                0.90526,                 1.5056,                    1.1,              0.0010294,              0.0010294,              0.0010294
                      2,                 1.2646,                 1.4691,                 1.2865,                0.78395,                 0.3355,                0.51881,                 0.3157,                 1.4576,                 2.3756,                 1.7057,              0.0015209,              0.0015209,              0.0015209
                      3,                 1.3183,                 1.4312,                 1.3079,                0.68846,                0.51389,                0.54261,                0.32763,                 1.3176,                 2.2334,                 1.4644,               0.001568,               0.001568,               0.001568
                      4,                 1.2743,                 1.3437,                 1.2663,                0.67595,                0.58333,                0.69954,                0.47757,                  1.134,                 1.8218,                 1.3751,               0.001568,               0.001568,               0.001568
                      5,                 1.2703,                 1.3458,                 1.3136,                0.66153,                0.75272,                0.77343,                0.53153,                 1.1274,                 1.3219,                 1.3385,               0.001535,               0.001535,               0.001535
                      6,                 1.2289,                 1.2819,                 1.2811,                0.83519,                0.68056,                0.80761,                0.55452,                0.98088,                 1.3678,                 1.2411,               0.001502,               0.001502,               0.001502
                      7,                  1.226,                 1.2671,                 1.2948,                0.73679,                0.69205,                0.76092,                0.45737,                 1.1711,                 1.4284,                 1.3652,               0.001469,               0.001469,               0.001469
                      8,                 1.2205,                 1.2877,                 1.2866,                0.91653,                0.73611,                0.88162,                0.64266,                0.97251,                 1.3728,                 1.2426,               0.001436,               0.001436,               0.001436
                      9,                 1.1589,                 1.1694,                 1.2621,                0.81073,                0.86111,                0.89692,                 0.6658,                0.91994,                 1.2144,                 1.2429,              0.0014029,              0.0014029,              0.0014029
                     10,                  1.186,                 1.2324,                 1.2521,                0.83421,                0.77778,                0.87607,                0.61366,                0.98068,                 1.2069,                 1.2426,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.2146,                 1.1742,                 1.2783,                 0.8929,                0.93757,                0.93934,                0.68836,                0.82196,                 1.0832,                 1.1116,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.1598,                  1.103,                 1.2468,                 0.9191,                0.73297,                0.85961,                0.64152,                0.86969,                 1.2676,                 1.1111,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.0999,                 1.0567,                 1.2098,                0.95483,                0.87915,                0.95515,                0.69513,                 1.0406,                0.95477,                 1.2632,              0.0012709,              0.0012709,              0.0012709
