                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2046,                 1.1693,                 1.2618,                0.45581,                0.85714,                 0.7504,                0.51002,                 1.1488,                 1.6606,                  1.277,               0.000554,               0.000554,               0.000554
                      1,                 1.2792,                 1.0505,                 1.3067,                0.60785,                0.61111,                 0.6944,                0.42882,                 1.3677,                 1.8235,                 1.4947,              0.0010877,              0.0010877,              0.0010877
                      2,                 1.2852,                  1.064,                 1.3084,                0.76873,                0.73342,                0.81003,                0.54868,                  1.156,                  1.282,                 1.3323,              0.0015994,              0.0015994,              0.0015994
                      3,                 1.2362,                0.98687,                 1.2834,                0.84248,                  0.875,                0.86278,                0.60939,                 1.0527,                 1.1284,                 1.2216,               0.001568,               0.001568,               0.001568
                      4,                  1.184,                0.92245,                 1.2495,                0.89248,                0.81944,                0.88073,                0.61416,                 1.1088,                 1.1359,                 1.3257,               0.001568,               0.001568,               0.001568
                      5,                 1.1439,                0.87929,                 1.2338,                0.91755,                0.88767,                0.94687,                0.66438,                 1.0428,                0.88227,                 1.2356,               0.001535,               0.001535,               0.001535
                      6,                 1.0908,                0.80699,                 1.1934,                0.82826,                0.92575,                 0.9151,                0.65811,                 1.1175,                 1.0237,                 1.3062,               0.001502,               0.001502,               0.001502
                      7,                 1.0789,                 0.7875,                 1.1848,                0.91973,                0.90679,                0.96027,                0.68617,                 0.9807,                0.69672,                 1.1771,               0.001469,               0.001469,               0.001469
                      8,                 1.0541,                0.75423,                 1.1739,                0.90693,                0.86326,                0.94406,                0.70316,                0.89761,                0.74534,                 1.1281,               0.001436,               0.001436,               0.001436
                      9,                 1.0258,                0.72519,                 1.1626,                0.97242,                 0.8734,                 0.9649,                0.74903,                0.97795,                0.76256,                 1.2025,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.0086,                0.69808,                 1.1476,                0.94131,                0.85516,                0.92644,                0.69809,                0.90331,                 0.8365,                 1.1386,              0.0013699,              0.0013699,              0.0013699
                     11,                0.98784,                0.68641,                 1.1382,                0.94728,                 0.9523,                0.97547,                0.72007,                0.93239,                0.59144,                 1.1175,              0.0013369,              0.0013369,              0.0013369
                     12,                0.97171,                 0.6619,                   1.13,                0.96055,                0.95833,                0.97999,                0.75161,                0.89051,                0.61135,                 1.1415,              0.0013039,              0.0013039,              0.0013039
                     13,                 0.9673,                0.65477,                 1.1234,                0.90733,                0.94444,                0.97076,                0.72338,                0.89886,                0.63802,                 1.1194,              0.0012709,              0.0012709,              0.0012709
                     14,                0.95111,                0.63371,                 1.1147,                0.92777,                0.93645,                0.96559,                 0.7666,                0.83549,                0.52788,                 1.0712,              0.0012379,              0.0012379,              0.0012379
                     15,                0.93897,                0.62451,                 1.1108,                0.92375,                0.88889,                0.94944,                0.73272,                0.95747,                0.68286,                 1.1907,              0.0012049,              0.0012049,              0.0012049
                     16,                0.92323,                0.61141,                 1.1048,                0.91806,                  0.875,                 0.9419,                0.73903,                 0.8919,                0.72348,                 1.1305,              0.0011719,              0.0011719,              0.0011719
                     17,                0.90829,                0.59434,                 1.0916,                0.87166,                0.95179,                0.95282,                0.72478,                0.93247,                0.69978,                 1.1629,              0.0011389,              0.0011389,              0.0011389
                     18,                0.89052,                0.58676,                 1.0898,                0.86991,                0.94444,                0.95774,                 0.7317,                0.98061,                 0.7363,                 1.1678,              0.0011059,              0.0011059,              0.0011059
                     19,                0.88961,                0.58386,                 1.0858,                0.91966,                0.92712,                0.95453,                0.73247,                0.90706,                0.69039,                 1.1354,              0.0010729,              0.0010729,              0.0010729
                     20,                0.87484,                0.56696,                 1.0782,                 0.9401,                0.93056,                0.96627,                 0.7335,                0.95268,                0.66363,                 1.1698,              0.0010399,              0.0010399,              0.0010399
                     21,                 0.8581,                0.55893,                 1.0698,                0.93031,                0.93056,                0.96895,                0.76094,                0.83782,                0.62587,                 1.1278,              0.0010069,              0.0010069,              0.0010069
                     22,                0.84983,                0.55097,                 1.0655,                0.92278,                0.94051,                0.97308,                0.74441,                 0.9247,                0.55714,                 1.1935,             0.00097386,             0.00097386,             0.00097386
                     23,                0.85244,                0.54287,                  1.064,                 0.9396,                0.93056,                0.95593,                0.76471,                0.83513,                0.48968,                 1.1285,             0.00094085,             0.00094085,             0.00094085
                     24,                0.83366,                0.52537,                 1.0573,                0.94878,                0.94444,                0.97542,                0.73363,                0.95132,                0.58865,                 1.2212,             0.00090785,             0.00090785,             0.00090785
                     25,                0.82435,                0.51963,                 1.0597,                0.90552,                0.95349,                0.95693,                 0.7563,                0.87594,                0.60127,                 1.1416,             0.00087484,             0.00087484,             0.00087484
                     26,                0.81229,                0.51475,                 1.0462,                0.91998,                0.94444,                0.96398,                0.75343,                 0.8602,                0.53947,                 1.1245,             0.00084184,             0.00084184,             0.00084184
                     27,                0.80452,                0.50443,                 1.0459,                0.94814,                0.93263,                0.96077,                0.75177,                0.82471,                0.53883,                 1.1599,             0.00080883,             0.00080883,             0.00080883
                     28,                  0.791,                0.49576,                 1.0397,                0.83621,                0.95833,                0.95331,                0.77325,                 0.8325,                0.59837,                 1.1178,             0.00077582,             0.00077582,             0.00077582
                     29,                0.78497,                0.48472,                 1.0394,                0.94574,                0.88889,                0.96734,                0.75119,                0.90944,                0.50897,                 1.1642,             0.00074282,             0.00074282,             0.00074282
                     30,                0.77883,                 0.4858,                 1.0369,                 0.9414,                0.95632,                0.97475,                0.75002,                0.85596,                0.52084,                  1.134,             0.00070981,             0.00070981,             0.00070981
                     31,                 0.7727,                0.47437,                 1.0331,                0.90333,                0.95521,                0.96789,                0.76858,                0.81859,                0.51851,                  1.147,              0.0006768,              0.0006768,              0.0006768
                     32,                0.76363,                 0.4707,                  1.029,                0.94891,                0.95693,                  0.977,                0.75275,                0.88732,                 0.5746,                 1.1766,              0.0006438,              0.0006438,              0.0006438
                     33,                0.75104,                0.46337,                 1.0232,                0.96111,                0.89492,                0.94527,                0.75567,                0.80143,                0.56974,                 1.1288,             0.00061079,             0.00061079,             0.00061079
