                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1156,                  1.756,                 1.2623,                0.74765,                0.69444,                0.78938,                0.59381,                0.84283,                 1.3774,                 1.0995,             0.00051677,             0.00051677,             0.00051677
                      1,                 1.1692,                 1.2278,                 1.2581,                0.35102,                0.68056,                0.40456,                0.24345,                 1.2001,                 5.2947,                 1.4834,              0.0010294,              0.0010294,              0.0010294
                      2,                 1.2818,                 1.2971,                 1.3411,                0.50578,                0.48238,                0.53638,                0.29162,                 1.5553,                 3.4662,                 1.9203,              0.0015209,              0.0015209,              0.0015209
                      3,                  1.352,                 1.2438,                 1.3433,                0.09017,                0.59722,                 0.0818,                0.02817,                 2.2199,                 14.294,                 2.7967,               0.001568,               0.001568,               0.001568
                      4,                 1.3531,                 1.3223,                 1.3314,                0.28451,                0.23611,                0.15614,                0.09205,                 2.2976,                 3.1725,                 2.7248,               0.001568,               0.001568,               0.001568
                      5,                 1.3283,                 1.2638,                 1.3399,                0.45347,                0.77967,                0.59954,                0.41135,                 1.1749,                 2.3625,                 1.5376,               0.001535,               0.001535,               0.001535
                      6,                 1.2564,                 1.1451,                 1.2932,                0.74201,                0.70833,                0.73512,                0.47637,                 1.2018,                 1.8262,                 1.4989,               0.001502,               0.001502,               0.001502
                      7,                 1.2441,                 1.1145,                 1.3124,                0.82974,                0.76389,                0.82772,                0.59434,                 1.0702,                 1.0154,                 1.3155,               0.001469,               0.001469,               0.001469
                      8,                 1.2484,                 1.1609,                 1.3192,                0.64031,                0.80845,                0.78377,                0.52963,                 1.2763,                 1.1717,                 1.5069,               0.001436,               0.001436,               0.001436
                      9,                 1.1464,                 1.0637,                 1.2613,                0.87949,                0.86111,                0.89108,                0.65178,                0.98516,                0.95536,                 1.2269,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.1673,                 1.0575,                  1.255,                0.89025,                0.81944,                0.91264,                0.62878,                 1.0269,                 1.0291,                 1.3381,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.1997,                 1.0711,                 1.2962,                 0.9264,                0.83011,                 0.9365,                0.69751,                0.80956,                0.97415,                 1.1468,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.2068,                 1.0184,                 1.3009,                0.67525,                0.79167,                0.75529,                0.48771,                 1.1788,                 1.1722,                 1.4275,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.1108,                0.94642,                 1.2373,                0.80403,                 0.8215,                0.87573,                0.62512,                0.89564,                 1.1354,                 1.1985,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.0536,                0.89964,                 1.2015,                0.83937,                0.78447,                0.89459,                0.66763,                0.97895,                0.86886,                  1.317,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.0474,                0.93304,                 1.2081,                0.86392,                0.84722,                0.89988,                0.68842,                0.79254,                0.89053,                 1.1213,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.0113,                0.89057,                 1.1831,                0.88732,                 0.8703,                0.89149,                0.65104,                0.90401,                0.98616,                 1.2076,              0.0011719,              0.0011719,              0.0011719
                     17,                0.98575,                0.89974,                   1.18,                0.89364,                0.78418,                0.91932,                0.64728,                0.90507,                 1.0975,                 1.2024,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.0528,                0.92726,                 1.2317,                 0.7655,                 0.8864,                0.87009,                0.65982,                0.82734,                 1.0029,                 1.1504,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.0209,                0.91377,                 1.1959,                  0.892,                0.90595,                0.94223,                0.73551,                0.80214,                0.75785,                 1.1287,              0.0010729,              0.0010729,              0.0010729
                     20,                0.99307,                0.84027,                  1.177,                0.92971,                0.88053,                 0.9521,                0.75016,                 0.7415,                 0.7946,                 1.0626,              0.0010399,              0.0010399,              0.0010399
